Label,Year,Period,Value
2016 Jan,2016,01,252397
2016 Feb,2016,02,252577
2016 Mar,2016,03,252768
2016 Apr,2016,04,252969
2016 May,2016,05,253174
2016 Jun,2016,06,253397
2016 Jul,2016,07,253620
2016 Aug,2016,08,253854
2016 Sep,2016,09,254091
2016 Oct,2016,10,254321
2016 Nov,2016,11,254540
2016 Dec,2016,12,254742
2017 Jan,2017,01,254082
2017 Feb,2017,02,254246
2017 Mar,2017,03,254414
2017 Apr,2017,04,254588
2017 May,2017,05,254767
2017 Jun,2017,06,254957
2017 Jul,2017,07,255151
2017 Aug,2017,08,255357
2017 Sep,2017,09,255562
2017 Oct,2017,10,255766
2017 Nov,2017,11,255949
2017 Dec,2017,12,256109
2018 Jan,2018,01,256780
2018 Feb,2018,02,256934
2018 Mar,2018,03,257097
2018 Apr,2018,04,257272
2018 May,2018,05,257454
2018 Jun,2018,06,257642
2018 Jul,2018,07,257843
2018 Aug,2018,08,258066
2018 Sep,2018,09,258290
2018 Oct,2018,10,258514
2018 Nov,2018,11,258708
2018 Dec,2018,12,258888
2019 Jan,2019,01,258239
2019 Feb,2019,02,258392
2019 Mar,2019,03,258537
2019 Apr,2019,04,258693
2019 May,2019,05,258861
2019 Jun,2019,06,259037
2019 Jul,2019,07,259225
2019 Aug,2019,08,259432
2019 Sep,2019,09,259638
2019 Oct,2019,10,259845
2019 Nov,2019,11,260020
2019 Dec,2019,12,260181
2020 Jan,2020,01,259502
2020 Feb,2020,02,259628
2020 Mar,2020,03,259758
2020 Apr,2020,04,259896
2020 May,2020,05,260047
2020 Jun,2020,06,260204
2020 Jul,2020,07,260373
2020 Aug,2020,08,260558
2020 Sep,2020,09,260742
2020 Oct,2020,10,260925
2020 Nov,2020,11,261085
2020 Dec,2020,12,261230
2021 Jan,2021,01,260851
2021 Feb,2021,02,260918
2021 Mar,2021,03,261003
2021 Apr,2021,04,261103
2021 May,2021,05,261210
2021 Jun,2021,06,261338
2021 Jul,2021,07,261469
2021 Aug,2021,08,261611
2021 Sep,2021,09,261766
2021 Oct,2021,10,261908
2021 Nov,2021,11,262029
2021 Dec,2021,12,262136
